Fe,Mn,Co,Cu,Ga,Ge,Ag,Cd,In,Sn,Sb,Pb
62490,70.66,39.53,2.25,0.431,0.25,4.41,2737.64,0.261,0.31,0.141,1.4
53730,73.48,38.92,1.27,0.389,0.31,3.73,2757.22,0.246,0.354,0.069,0.445
59410,69.04,36.31,65.85,0.45,0.24,5.63,3054.76,0.212,0.236,0.405,19.5
60720,75.73,37.12,1.99,0.545,0.31,1.85,2978.51,0.21,0.371,0.063,1.16
62990,63.83,3.65,2.55,0.472,0.42,6.92,2580.62,0.216,0.316,4.27,3.38
60770,71.76,34.87,27.98,0.398,0.16,3.56,2970.7,0.214,0.372,0.163,3.4
52580,47.56,32.44,21.87,0.413,0.25,19.42,2852.39,0.276,0.51,5.24,250.62
50000,37.11,1.25,2.35,0.7,0.69,5.29,2573.64,0.387,0.63,0.72,3.3
51890,55.96,6.53,1.6,0.632,0.47,6.7,2225.46,0.858,0.324,1.16,3.5
55020,174.83,0.124,6.65,2.54,0.27,9.88,2219.51,0.231,0.375,0.236,3.06
55020,178.1,0.045,9.98,2.95,0.15,26.34,2112.78,0.197,0.261,1.56,15.84
70640,222.59,0.194,5.69,3.57,0.39,4.19,2684.96,0.239,0.192,0.069,1.06
22520,80.05,9.25,7.42,1.079,0.225,64.28,1597.4,0.81,0.308,0.759,21.85
22440,44.93,8.14,7.66,1.25,0.122,69.68,1602.01,0.947,0.369,1.33,29.07
23500,105.21,8.3,9.44,1.56,0.23,79.04,1515.11,1.103,0.229,0.746,20.09
20140,29.96,6.71,9.5,1.4,0.262,83.83,1603.97,0.65,0.492,3.84,40.58
20500,120.16,8.31,3.8,1.07,0.16,37.41,1609.15,0.695,0.181,0.067,3.43
23910,70.7,8.84,9.04,1.07,0.156,83.86,1705.66,0.704,0.268,1.17,30.51
23670,75.36,9.35,6.17,0.872,0.117,72.03,1654.55,0.779,0.166,0.755,18.97
49230,34.02,4.09,4.87,0.382,0.296,32.97,2081.03,0.99,0.148,2.66,85.83
42540,30.08,6.83,8.23,0.702,0.3,58.94,1962.06,0.95,0.386,5.53,36.78
52270,47.71,5.75,5.37,0.376,0.116,33.47,2088.99,0.812,0.239,1.85,73.22
55840,41.94,6.65,7.05,0.435,0.21,51.38,2240.13,0.882,0.249,5.15,1620.9
41310,40.35,8.28,6.6,0.432,0.295,43.79,2129.75,0.87,0.283,3.64,22.64
